Source,SrcPort,Dest.,DstPort,SrcMAC,DstMAC
h1,eth0,s6,eth1,00:00:00:00:00:01,92:a3:0a:b0:0f:1f
h2,eth0,s10,eth1,00:00:00:00:00:02,2e:f9:a3:6c:bf:2d
h3,eth0,s7,eth1,00:00:00:00:00:03,ae:65:d3:68:f4:cb
h4,eth0,s7,eth2,00:00:00:00:00:04,7a:9d:1f:cb:27:3e
h5,eth0,s5,eth1,00:00:00:00:00:05,d2:ef:f7:70:17:2b
h6,eth0,s9,eth1,00:00:00:00:00:06,b2:4f:df:83:8c:b1
h7,eth0,s10,eth2,00:00:00:00:00:07,ea:a3:c1:e7:c1:39
s1,eth1,s9,eth3,52:a9:3e:1f:50:49,a2:89:7d:a7:2e:fd
s1,eth2,s3,eth1,2e:97:fd:24:aa:a2,c2:1d:42:b9:89:be
s1,eth3,s6,eth4,ca:56:9b:26:b8:4e,12:ee:17:55:c3:72
s1,eth4,s10,eth5,06:2a:c8:2e:65:11,9e:d5:af:da:48:05
s2,eth1,s4,eth2,b2:0f:6c:fc:2c:94,d2:cc:6d:9b:5a:9e
s2,eth2,s5,eth2,52:58:1d:8c:e0:98,ea:0c:62:a7:22:82
s2,eth3,s7,eth4,4a:e3:dc:7f:9b:e7,ea:47:8e:08:c6:62
s3,eth1,s1,eth2,c2:1d:42:b9:89:be,2e:97:fd:24:aa:a2
s3,eth2,s4,eth1,92:82:39:bc:f3:41,5a:74:63:8d:1b:4f
s3,eth3,s5,eth3,ca:d4:d0:b1:86:77,5a:92:86:12:d1:15
s4,eth1,s3,eth2,5a:74:63:8d:1b:4f,92:82:39:bc:f3:41
s4,eth2,s2,eth1,d2:cc:6d:9b:5a:9e,b2:0f:6c:fc:2c:94
s4,eth3,s5,eth4,52:01:d5:74:86:18,9e:2c:07:02:9d:1b
s5,eth1,h5,eth0,d2:ef:f7:70:17:2b,00:00:00:00:00:05
s5,eth2,s2,eth2,ea:0c:62:a7:22:82,52:58:1d:8c:e0:98
s5,eth3,s3,eth3,5a:92:86:12:d1:15,ca:d4:d0:b1:86:77
s5,eth4,s4,eth3,9e:2c:07:02:9d:1b,52:01:d5:74:86:18
s6,eth1,h1,eth0,92:a3:0a:b0:0f:1f,00:00:00:00:00:01
s6,eth2,s7,eth3,0e:91:d4:71:ce:1e,6e:fe:54:86:e8:fa
s6,eth3,s8,eth1,32:20:b8:4d:e7:6f,0e:c1:43:a5:dc:07
s6,eth4,s1,eth3,12:ee:17:55:c3:72,ca:56:9b:26:b8:4e
s7,eth1,h3,eth0,ae:65:d3:68:f4:cb,00:00:00:00:00:03
s7,eth2,h4,eth0,7a:9d:1f:cb:27:3e,00:00:00:00:00:04
s7,eth3,s6,eth2,6e:fe:54:86:e8:fa,0e:91:d4:71:ce:1e
s7,eth4,s2,eth3,ea:47:8e:08:c6:62,4a:e3:dc:7f:9b:e7
s7,eth5,s9,eth4,42:79:16:bb:c9:25,0a:e4:ee:fe:5b:54
s8,eth1,s6,eth3,0e:c1:43:a5:dc:07,32:20:b8:4d:e7:6f
s8,eth2,s10,eth3,f2:d8:bb:bc:95:62,de:3b:55:b8:d7:05
s8,eth3,s9,eth5,a6:27:1d:26:49:fe,5e:b2:4a:30:1f:06
s9,eth1,h6,eth0,b2:4f:df:83:8c:b1,00:00:00:00:00:06
s9,eth2,s10,eth4,5a:c5:f2:c6:cb:38,72:bb:69:03:b0:9c
s9,eth3,s1,eth1,a2:89:7d:a7:2e:fd,52:a9:3e:1f:50:49
s9,eth4,s7,eth5,0a:e4:ee:fe:5b:54,42:79:16:bb:c9:25
s9,eth5,s8,eth3,5e:b2:4a:30:1f:06,a6:27:1d:26:49:fe
s10,eth1,h2,eth0,2e:f9:a3:6c:bf:2d,00:00:00:00:00:02
s10,eth2,h7,eth0,ea:a3:c1:e7:c1:39,00:00:00:00:00:07
s10,eth3,s8,eth2,de:3b:55:b8:d7:05,f2:d8:bb:bc:95:62
s10,eth4,s9,eth2,72:bb:69:03:b0:9c,5a:c5:f2:c6:cb:38
s10,eth5,s1,eth4,9e:d5:af:da:48:05,06:2a:c8:2e:65:11
